[sample.gcm_data.dat]
allow_sparse_data=TRUE
                           year    day      month       CERFAC         ECMWF           INGV          LODYC         METEO         MPI            UKMET
                           1867        3        1           0             0             0             0             0              0              0
                           1867       34        2           0             0             0             0             0              0              0
                           1867       63        3           0             0             0             0             0              0              0
                           1867       94        4           0             0             0             0             0              0              0
                           1867      120        5           0             0             0             0             0              0              0
                           1867      155        6           0             0             0             0             0              0              0
                           1867      185        7           0             0             0             0             0              0              0
                           1867      210        8           0             0             0             0             0              0              0
                           1867      247        9           0             0             0             0             0              0              0
                           1867      277       10           0             0             0             0             0              0              0
                           1867      308       11           0             0             0             0             0              0              0
                           1867      338       12           0             0             0             0             0              0              0
                           1868        3        1           0             0             0             0             0              0              0
                           1868       34        2           0             0             0             0             0              0              0
                           1868       63        3           0             0             0             0             0              0              0
                           1868       94        4           0             0             0             0             0              0              0
                           1868      120        5           0             0             0             0             0              0              0
                           1868      155        6           0             0             0             0             0              0              0
                           1868      185        7           0             0             0             0             0              0              0
                           1868      210        8           0             0             0             0             0              0              0
                           1868      247        9           0             0             0             0             0              0              0
                           1868      277       10           0             0             0             0             0              0              0
                           1868      308       11           0             0             0             0             0              0              0
                           1868      338       12           0             0             0             0             0              0              0
                           1869        3        1           0             0             0             0             0              0              0
                           1869       34        2           0             0             0             0             0              0              0
                           1869       63        3           0             0             0             0             0              0              0
                           1869       94        4           0             0             0             0             0              0              0
                           1869      120        5           0             0             0             0             0              0              0
                           1869      155        6           0             0             0             0             0              0              0
                           1869      185        7           0             0             0             0             0              0              0
                           1869      210        8           0             0             0             0             0              0              0
                           1869      247        9           0             0             0             0             0              0              0
                           1869      277       10           0             0             0             0             0              0              0
                           1869      308       11           0             0             0             0             0              0              0
                           1869      338       12           0             0             0             0             0              0              0
                           1870        3        1           0             0             0             0             0              0              0
                           1870       34        2           0             0             0             0             0              0              0
                           1870       63        3           0             0             0             0             0              0              0
                           1870       94        4           0             0             0             0             0              0              0
                           1870      120        5           0             0             0             0             0              0              0
                           1870      155        6           0             0             0             0             0              0              0
                           1870      185        7           0             0             0             0             0              0              0
                           1870      210        8           0             0             0             0             0              0              0
                           1870      247        9           0             0             0             0             0              0              0
                           1870      277       10           0             0             0             0             0              0              0
                           1870      308       11           0             0             0             0             0              0              0
                           1870      338       12           0             0             0             0             0              0              0
                           1871        3        1           0             0             0             0             0              0              0
                           1871       34        2           0             0             0             0             0              0              0
                           1871       63        3           0             0             0             0             0              0              0
                           1871       94        4           0             0             0             0             0              0              0
                           1871      120        5           0             0             0             0             0              0              0
                           1871      155        6           0             0             0             0             0              0              0
                           1871      185        7           0             0             0             0             0              0              0
                           1871      210        8           0             0             0             0             0              0              0
                           1871      247        9           0             0             0             0             0              0              0
                           1871      277       10           0             0             0             0             0              0              0
                           1871      308       11           0             0             0             0             0              0              0
                           1871      338       12           0             0             0             0             0              0              0
                           1872        3        1           0             0             0             0             0              0              0
                           1872       34        2           0             0             0             0             0              0              0
                           1872       63        3           0             0             0             0             0              0              0
                           1872       94        4           0             0             0             0             0              0              0
                           1872      120        5           0             0             0             0             0              0              0
                           1872      155        6           0             0             0             0             0              0              0
                           1872      185        7           0             0             0             0             0              0              0
                           1872      210        8           0             0             0             0             0              0              0
                           1872      247        9           0             0             0             0             0              0              0
                           1872      277       10           0             0             0             0             0              0              0
                           1872      308       11           0             0             0             0             0              0              0
                           1872      338       12           0             0             0             0             0              0              0
                           1873        3        1           0             0             0             0             0              0              0
                           1873       34        2           0             0             0             0             0              0              0
                           1873       63        3           0             0             0             0             0              0              0
                           1873       94        4           0             0             0             0             0              0              0
                           1873      120        5           0             0             0             0             0              0              0
                           1873      155        6           0             0             0             0             0              0              0
                           1873      185        7           0             0             0             0             0              0              0
                           1873      210        8           0             0             0             0             0              0              0
                           1873      247        9           0             0             0             0             0              0              0
                           1873      277       10           0             0             0             0             0              0              0
                           1873      308       11           0             0             0             0             0              0              0
                           1873      338       12           0             0             0             0             0              0              0
                           1874        3        1           0             0             0             0             0              0              0
                           1874       34        2           0             0             0             0             0              0              0
                           1874       63        3           0             0             0             0             0              0              0
                           1874       94        4           0             0             0             0             0              0              0
                           1874      120        5           0             0             0             0             0              0              0
                           1874      155        6           0             0             0             0             0              0              0
                           1874      185        7           0             0             0             0             0              0              0
                           1874      210        8           0             0             0             0             0              0              0
                           1874      247        9           0             0             0             0             0              0              0
                           1874      277       10           0             0             0             0             0              0              0
                           1874      308       11           0             0             0             0             0              0              0
                           1874      338       12           0             0             0             0             0              0              0
                           1875        3        1           0             0             0             0             0              0              0
                           1875       34        2           0             0             0             0             0              0              0
                           1875       63        3           0             0             0             0             0              0              0
                           1875       94        4           0             0             0             0             0              0              0
                           1875      120        5           0             0             0             0             0              0              0
                           1875      155        6           0             0             0             0             0              0              0
                           1875      185        7           0             0             0             0             0              0              0
                           1875      210        8           0             0             0             0             0              0              0
                           1875      247        9           0             0             0             0             0              0              0
                           1875      277       10           0             0             0             0             0              0              0
                           1875      308       11           0             0             0             0             0              0              0
                           1875      338       12           0             0             0             0             0              0              0
                           1876        3        1           0             0             0             0             0              0              0
                           1876       34        2           0             0             0             0             0              0              0
                           1876       63        3           0             0             0             0             0              0              0
                           1876       94        4           0             0             0             0             0              0              0
                           1876      120        5           0             0             0             0             0              0              0
                           1876      155        6           0             0             0             0             0              0              0
                           1876      185        7           0             0             0             0             0              0              0
                           1876      210        8           0             0             0             0             0              0              0
                           1876      247        9           0             0             0             0             0              0              0
                           1876      277       10           0             0             0             0             0              0              0
                           1876      308       11           0             0             0             0             0              0              0
                           1876      338       12           0             0             0             0             0              0              0
                           1877        3        1           0             0             0             0             0              0              0
                           1877       34        2           0             0             0             0             0              0              0
                           1877       63        3           0             0             0             0             0              0              0
                           1877       94        4           0             0             0             0             0              0              0
                           1877      120        5           0             0             0             0             0              0              0
                           1877      155        6           0             0             0             0             0              0              0
                           1877      185        7           0             0             0             0             0              0              0
                           1877      210        8           0             0             0             0             0              0              0
                           1877      247        9           0             0             0             0             0              0              0
                           1877      277       10           0             0             0             0             0              0              0
                           1877      308       11           0             0             0             0             0              0              0
                           1877      338       12           0             0             0             0             0              0              0
                           1878        3        1           0             0             0             0             0              0              0
                           1878       34        2           0             0             0             0             0              0              0
                           1878       63        3           0             0             0             0             0              0              0
                           1878       94        4           0             0             0             0             0              0              0
                           1878      120        5           0             0             0             0             0              0              0
                           1878      155        6           0             0             0             0             0              0              0
                           1878      185        7           0             0             0             0             0              0              0
                           1878      210        8           0             0             0             0             0              0              0
                           1878      247        9           0             0             0             0             0              0              0
                           1878      277       10           0             0             0             0             0              0              0
                           1878      308       11           0             0             0             0             0              0              0
                           1878      338       12           0             0             0             0             0              0              0
                           1879        3        1           0             0             0             0             0              0              0
                           1879       34        2           0             0             0             0             0              0              0
                           1879       63        3           0             0             0             0             0              0              0
                           1879       94        4           0             0             0             0             0              0              0
                           1879      120        5           0             0             0             0             0              0              0
                           1879      155        6           0             0             0             0             0              0              0
                           1879      185        7           0             0             0             0             0              0              0
                           1879      210        8           0             0             0             0             0              0              0
                           1879      247        9           0             0             0             0             0              0              0
                           1879      277       10           0             0             0             0             0              0              0
                           1879      308       11           0             0             0             0             0              0              0
                           1879      338       12           0             0             0             0             0              0              0
                           1880        3        1           0             0             0             0             0              0              0
                           1880       34        2           0             0             0             0             0              0              0
                           1880       63        3           0             0             0             0             0              0              0
                           1880       94        4           0             0             0             0             0              0              0
                           1880      120        5           0             0             0             0             0              0              0
                           1880      155        6           0             0             0             0             0              0              0
                           1880      185        7           0             0             0             0             0              0              0
                           1880      210        8           0             0             0             0             0              0              0
                           1880      247        9           0             0             0             0             0              0              0
                           1880      277       10           0             0             0             0             0              0              0
                           1880      308       11           0             0             0             0             0              0              0
                           1880      338       12           0             0             0             0             0              0              0
